"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)"
5.404115590E-1,1.041158736E-1,-9.390605688E-1,-5.883487687E-2
5.424131920E-1,9.617462009E-2,-9.836536646E-1,-6.127833575E-2
5.444145580E-1,9.495289624E-2,-1.021527290E0,-6.372179836E-2
5.464158910E-1,8.578991890E-2,-1.039242387E0,-6.616526097E-2
5.484173570E-1,8.334644884E-2,-1.072840095E0,-6.799785793E-2
5.504187230E-1,7.968126237E-2,-1.101550698E0,-7.166304439E-2
5.544142560E-1,6.990741938E-2,-1.146754742E0,-7.716083527E-2
5.564156220E-1,6.563135982E-2,-1.159582853E0,-8.143688738E-2
5.584167880E-1,5.952271074E-2,-1.165691495E0,-8.571294695E-2
5.604181210E-1,5.891184136E-2,-1.179130673E0,-8.510208130E-2
5.624194870E-1,5.524665490E-2,-1.184017420E0,-8.510208130E-2
5.644201200E-1,4.547280818E-2,-1.181574106E0,-9.059987217E-2
5.664211530E-1,4.180761799E-2,-1.176076293E0,-9.548678994E-2
5.684227860E-1,3.692069650E-2,-1.171800137E0,-9.304332733E-2
5.704241190E-1,3.875329345E-2,-1.163248062E0,-9.854111820E-2
5.724254520E-1,3.814242408E-2,-1.147365570E0,-1.015954465E-1
5.744268180E-1,3.508809954E-2,-1.133315682E0,-1.003737077E-1
5.764281510E-1,2.836858109E-2,-1.110102773E0,-1.058714986E-1
5.784291510E-1,2.959031239E-2,-1.080170393E0,-1.095366925E-1
5.804305170E-1,2.653598599E-2,-1.068563938E0,-1.046497673E-1
5.824318500E-1,2.714684978E-2,-1.030690312E0,-1.077040955E-1
5.844331830E-1,2.775771730E-2,-9.952601194E-1,-1.083149537E-1
5.864345160E-1,2.470339090E-2,-9.751015902E-1,-1.138127446E-1
5.884369820E-1,2.592512220E-2,-9.323409796E-1,-1.144236177E-1
5.904383150E-1,2.714684978E-2,-9.085173011E-1,-1.168670729E-1
5.924396480E-1,2.409252524E-2,-8.645349741E-1,-1.174779385E-1
5.944409810E-1,2.287079394E-2,-8.138331771E-1,-1.235865951E-1
5.964423470E-1,2.409252524E-2,-7.869550586E-1,-1.235865951E-1
5.984436800E-1,2.287079394E-2,-7.368641496E-1,-1.278626472E-1
6.004450130E-1,2.409252524E-2,-6.788319945E-1,-1.309169829E-1
6.024463790E-1,2.714684978E-2,-6.531755924E-1,-1.351930201E-1
6.044477120E-1,2.531425655E-2,-5.945325494E-1,-1.406908184E-1
6.064490450E-1,2.470339090E-2,-5.395547152E-1,-1.449668705E-1
6.084502780E-1,2.592512220E-2,-5.145092010E-1,-1.449668705E-1
6.104516110E-1,2.653598599E-2,-4.503683448E-1,-1.504646540E-1
6.124532440E-1,2.959031239E-2,-4.265445769E-1,-1.577950418E-1
6.144546440E-1,2.775771730E-2,-3.740102053E-1,-1.626819670E-1
6.164559770E-1,3.142290935E-2,-3.184214532E-1,-1.675688922E-1
6.184574770E-1,3.264463693E-2,-2.939868569E-1,-1.724558175E-1
6.204585100E-1,2.653598599E-2,-2.408415675E-1,-1.810079217E-1
6.224598430E-1,3.264463693E-2,-1.944158077E-1,-1.858948469E-1
6.244611760E-1,2.714684978E-2,-1.632616669E-1,-1.907817721E-1
6.264628420E-1,2.164906450E-2,-1.235554367E-1,-1.938360929E-1
6.284639080E-1,2.287079394E-2,-7.102102786E-2,-1.981121451E-1
6.304652410E-1,1.920560189E-2,-4.841900989E-2,-2.023882121E-1
6.324666070E-1,2.164906450E-2,-9.934501722E-3,-2.029990703E-1
6.344686400E-1,1.492954604E-2,2.977173962E-2,-2.115511894E-1
6.364696730E-1,1.065349020E-2,5.420634896E-2,-2.146055102E-1
6.384718060E-1,9.431759827E-3,9.146913141E-2,-2.231576294E-1
6.404731390E-1,8.820894174E-3,1.140711457E-1,-2.304880023E-1
6.424805050E-1,2.687807137E-4,1.549991220E-1,-2.359858006E-1
6.444818710E-1,-2.174680121E-3,1.953162253E-1,-2.420944571E-1
6.464832040E-1,-9.529497474E-4,2.148639113E-1,-2.482030988E-1
6.484834040E-1,-8.283332922E-3,2.521266937E-1,-2.530900240E-1
6.504847700E-1,-1.317025442E-2,2.796156406E-1,-2.573660910E-1
6.524861030E-1,-1.439198479E-2,3.028284907E-1,-2.622529864E-1
6.544874360E-1,-1.805717684E-2,3.266522586E-1,-2.708051205E-1
6.564887690E-1,-2.294410020E-2,3.590281010E-1,-2.756920457E-1
6.584901020E-1,-1.744631119E-2,3.700236678E-1,-2.805789411E-1
6.604924680E-1,-2.050063759E-2,3.938474059E-1,-2.830224335E-1
6.624934680E-1,-2.233323269E-2,4.023995399E-1,-2.885202169E-1
6.644947340E-1,-2.355496399E-2,4.250015616E-1,-2.970723212E-1
6.664960340E-1,-1.988977194E-2,4.427166581E-1,-3.019592166E-1
6.684973000E-1,-2.355496399E-2,4.524904788E-1,-3.001266420E-1
6.705040660E-1,-2.233323269E-2,4.695947170E-1,-3.086787760E-1
6.725057990E-1,-1.866804063E-2,4.873098135E-1,-3.129548132E-1
6.745071320E-1,-1.866804063E-2,4.928075969E-1,-3.227286637E-1
6.765084650E-1,-1.805717684E-2,5.001379848E-1,-3.288373053E-1
6.785098310E-1,-1.317025442E-2,5.025814772E-1,-3.343351185E-1
6.805114970E-1,-1.561371610E-2,5.099118352E-1,-3.349459469E-1
6.825125300E-1,-1.378112007E-2,5.007488132E-1,-3.471632600E-1
6.845142630E-1,-1.439198479E-2,4.995270967E-1,-3.532719016E-1
6.865155960E-1,-1.988977194E-2,4.983053803E-1,-3.581588566E-1
6.885169290E-1,-1.866804063E-2,4.958619177E-1,-3.642674983E-1
6.905182950E-1,-1.378112007E-2,4.866989553E-1,-3.679326773E-1
6.925196280E-1,-2.172236890E-2,4.836446345E-1,-3.758739233E-1
6.945202610E-1,-2.050063759E-2,4.683730006E-1,-3.783174157E-1
6.965219270E-1,-1.927890815E-2,4.573774040E-1,-3.825934529E-1
6.985228270E-1,-3.210707754E-2,4.421057701E-1,-3.856477737E-1
7.005241600E-1,-3.699399903E-2,4.268341362E-1,-3.941998780E-1
7.045208260E-1,-4.127005860E-2,3.901822269E-1,-4.033628702E-1
7.065221590E-1,-4.188092053E-2,3.651367426E-1,-4.051954746E-1
7.085235250E-1,-4.554611072E-2,3.535303473E-1,-4.094715416E-1
7.105248580E-1,-5.226562917E-2,3.297065794E-1,-4.143584669E-1
7.125261910E-1,-5.531995744E-2,3.150458038E-1,-4.149692953E-1
7.145275570E-1,-6.448293477E-2,2.887786031E-1,-4.229105413E-1
7.165288900E-1,-6.814812124E-2,2.619005442E-1,-4.277974963E-1
7.185302230E-1,-7.425678521E-2,2.490723580E-1,-4.265757501E-1
7.205305560E-1,-8.158716559E-2,2.234160155E-1,-4.308518171E-1
7.225322220E-1,-8.830668032E-2,1.977596879E-1,-4.290192127E-1
7.245336220E-1,-9.563706070E-2,1.867641211E-1,-4.314626753E-1
7.265350220E-1,-1.072435006E-1,1.635512263E-1,-4.332952499E-1
7.285364220E-1,-1.182390749E-1,1.348405629E-1,-4.290192127E-1
7.325332880E-1,-1.310672462E-1,1.036864296E-1,-4.271866083E-1
7.345346210E-1,-1.414519548E-1,9.574518353E-2,-4.229105413E-1
7.365359540E-1,-1.493932009E-1,7.192143798E-2,-4.192453623E-1
7.385372870E-1,-1.640539765E-1,5.176289007E-2,-4.161910415E-1
7.405386200E-1,-1.695517600E-1,4.137817770E-2,-4.137475789E-1
7.425402860E-1,-1.799364686E-1,2.366308868E-2,-4.119149745E-1
7.445412520E-1,-1.854342520E-1,2.282803645E-3,-4.070280790E-1
7.465425850E-1,-1.890994459E-1,-5.658444948E-3,-4.033628702E-1
7.485439510E-1,-2.025384754E-1,-2.215180546E-2,-3.978650868E-1
